,Title,URL,RAM,Price,Rating,Reviews
0,Dell Latitude 3500 Business Laptop,https://www.amazon.com/Dell-Latitude-Business-i5-10210U-Bluetooth/dp/B08F3XD6FS/ref=sr_1_23?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-23,16GB DDR4,1.049,16 ,4.1
1,"Laptop HP X360 14a Chromebook 14"" HD Touchscreen",https://www.amazon.com/HP-Chromebook-Touchscreen-Entertaining-Bluetooth/dp/B08NHVXHJW/ref=sr_1_22?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-22,,345.0,50 ,4.6
2,"Apple MacBook Pro 13"" with Touch Bar",https://www.amazon.com/Apple-MacBook-Pro-10th-Generation-Quad-Core/dp/B08DTPQ9XB/ref=sr_1_10?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-10,16GB,1.999,8 ,4.8
3,Apple MacBook Pro 16,https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ0007A/dp/B08374BBQG/ref=sr_1_7?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-7,,3.269,52 ,4.7
4,"Apple MacBook Pro 13"" with Touch Bar",https://www.amazon.com/Apple-MacBook-Pro-10th-Generation-Quad-Core/dp/B08F2YNYWQ/ref=sr_1_17?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-17,32GB,2.599,6 ,5.0
5,HP Envy 2019,https://www.amazon.com/HP-Envy-i7-10510U-Pre-Installed-Speakers/dp/B07Y32TNYC/ref=sr_1_23?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-23,16GB,1.429,376 ,4.6
6,"Latest Gen 8 Lenovo ThinkPad X1 Carbon 14"" FHD Ultrabook",https://www.amazon.com/Lenovo-ThinkPad-Ultrabook-i7-10510U-Processor/dp/B08FRNCPXF/ref=sr_1_22?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-22,16GB,1.674,57 ,4.6
7,Apple MacBook Air,https://www.amazon.com/Apple-MacBook-13-inch-256GB-Storage/dp/B08636NKF8/ref=sr_1_3?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-3,8GB,0,"9,821 ",4.8
8,"HP Spectre x360 GEM Cut 13.3"" FHD Touch Laptop",https://www.amazon.com/HP-i7-1065G7-Fingerprint-Nightfall-TechWarehouse/dp/B087C2ZQNQ/ref=sr_1_4?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-4,16GB,1.328,73 ,4.5
9,HP,https://www.amazon.com/HP-2-1-Touch-Screen-Natural/dp/B08996DKMJ/ref=sr_1_15?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-15,,772.0,95 ,4.6
