Title,URL,RAM,Storage,Price,Rating,Reviews
,https://www.amazon.com//HP-i5-1135G7-Processor-Lightweight-15-dy2021nr/dp/B08KGZ79N6/ref=sr_1_4?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-4,,,,,
,https://www.amazon.com//HP-440-Quad-Core-i5-10210U-Computers/dp/B08V1HRW7X/ref=sr_1_21?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-21,,,,,
HP 202A | CF501A,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg1_1?ie=UTF8&adId=A01236161S18PAM5KL3Z5&url=%2FHP-CF501A-CF502A-Cartridges-Magenta%2Fdp%2FB07TK514MK%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3DHP%26qid%3D1616054442%26s%3Dpc%26sr%3D1-30-spons%26psc%3D1&qualifier=1616054442&id=5768831856715407&widgetName=sp_btf,4.37 x 11.34 x 14.29 inches,,,826 ratings,4.8 out of 5
,https://www.amazon.com//HP-15-Inch-i5-1035G1-Solid-State-15-dy1036nr/dp/B085B5SXLY/ref=sr_1_7?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-7,,,,,
,https://www.amazon.com//HP-ENVY-Touchscreen-Processor-Nightfall/dp/B08966H6XJ/ref=sr_1_11?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-11,,,,,
,https://www.amazon.com//HP-Generation-i5-10210U-Processor-14-dh1021nr/dp/B08KH3FH15/ref=sr_1_18?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-18,,,,,
HP 14 Laptop,https://www.amazon.com//HP-Storage-14-inch-Microsoft-14-fq0020nr/dp/B08CMCZJ96/ref=sr_1_23?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-23,Price:,,$264.99,583 ratings,4.5 out of 5
"HP 17 17.3"" HD+ Touchscreen Laptop Computer",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A07560143AQF2UN61WWI&url=%2FHP-17-Laptop-Computer-Quad-Core%2Fdp%2FB084JSQS8C%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DHP%26qid%3D1616054442%26s%3Dpc%26sr%3D1-14-spons%26psc%3D1&qualifier=1616054442&id=5768831856715407&widgetName=sp_mtf,Price:,,$849.00,148 ratings,4.4 out of 5
"2021 Newest HP 15.6"" FHD IPS Touchscreen Laptop",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A0747190DLWT4KHIBE06&url=%2FHP-FHD-Touchscreen-Quad-Core-i7-1065G7%2Fdp%2FB08RYFJ4SB%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3DHP%26qid%3D1616054442%26s%3Dpc%26sr%3D1-15-spons%26psc%3D1&qualifier=1616054442&id=5768831856715407&widgetName=sp_mtf,Price:,,$979.00,12 ratings,4.9 out of 5
,https://www.amazon.com//HP-14-inch-Non-Touch-Bluetooth-Personal/dp/B08SLDHPYT/ref=sr_1_5?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-5,,,,,
,https://www.amazon.com//HP-EliteBook-840-1920x1080-Thunderbolt/dp/B08BBN23CT/ref=sr_1_3?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-3,,,,,
,https://www.amazon.com//HP-11-6-inch-Celeron-Personal-11-ak0010nr/dp/B0886JS35F/ref=sr_1_6?dchild=1&keywords=HP&qid=1616054442&s=pc&sr=1-6,,,,,
