"Title","URL","RAM","Storage","Price","Rating","Reviews"
"Dell Latitude 3500 Business Laptop, 15.6"" HD, 10th Gen Intel Quad Core i5-10210U, 16GB DDR4 RAM, 256GB NVMe M.2 SSD, Windows 10 Pro, WiFi, Bluetooth, Webcam, USB-C, HDMI, VGA,","https://www.amazon.com/Dell-Latitude-Business-i5-10210U-Bluetooth/dp/B08F3XD6FS/ref=sr_1_23?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-23","","","$1,049.00","16 ratings","4.1 out of 5 
"
"Laptop HP X360 14a Chromebook 14"" HD Touchscreen, Entertaining from Any Angle Intel Celeron, 4GB DDR4 64GB eMMC WiFi Webcam Stereo Speakers Bluetooth 4.2 Chrome Blue Metallic Color","https://www.amazon.com/HP-Chromebook-Touchscreen-Entertaining-Bluetooth/dp/B08NHVXHJW/ref=sr_1_22?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-22","","","$345.90","50 ratings","4.6 out of 5 
"
"Apple MacBook Pro 13"" with Touch Bar, 10th-Generation Quad-Core Intel Core i7 2.3GHz, 16GB RAM, 512GB SSD, Space Gray (Mid 2020)","https://www.amazon.com/Apple-MacBook-Pro-10th-Generation-Quad-Core/dp/B08DTPQ9XB/ref=sr_1_10?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-10","","","$1,999.00","8 ratings","4.8 out of 5 
"
"Apple MacBook Pro 16-in 2.4GHz 8-core i9 32GB 1TB 5500M 8GB Space Gray (CTO)","https://www.amazon.com/Apple-16-MacBook-Pro-Z0XZ0007A/dp/B08374BBQG/ref=sr_1_7?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-7","","","$3,269.00","52 ratings","4.7 out of 5 
"
"Apple MacBook Pro 13"" with Touch Bar, 10th-Generation Quad-Core Intel Core i7 2.3GHz, 32GB RAM, 1TB SSD, Space Gray (Mid 2020)","https://www.amazon.com/Apple-MacBook-Pro-10th-Generation-Quad-Core/dp/B08F2YNYWQ/ref=sr_1_17?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-17","","","$2,599.00","6 ratings","5 out of 5 
"
"HP Envy 2019,17.3"" Full HD Touch, i7-10510U 10th gen Quad CPU,NVIDIA MX250(4GB), 1TB SSD NVME,16GB RAM,Win 10 Pro Pre-Installed by HP, Neopack 64GB Flash Drive, B&O Speakers, HP Premium Wty, No DVD Rw","https://www.amazon.com/HP-Envy-i7-10510U-Pre-Installed-Speakers/dp/B07Y32TNYC/ref=sr_1_23?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-23","","","$1,429.93","376 ratings","4.6 out of 5 
"
"Dell Inspiron 3000 Series 15.6"" HD Notebook - Intel Celeron 4205U 1.8GHz - 4GB RAM 128GB PCIe SSD - Webcam - Windows 10 Home in S Mode, Black","https://www.amazon.com/Dell-Inspiron-3000-15-6-Notebook/dp/B08MRH5RW3/ref=sr_1_8?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-8","","","","19 ratings","4.5 out of 5 
"
"Lenovo ThinkPad E14 20RA004WUS 14"" Notebook - 1920 x 1080 - Intel Core i5 (10th Gen) i5-10210U Quad-core (4 Core) 1.60 GHz - 8 GB RAM - 1 TB HDD - Black","https://www.amazon.com/Lenovo-ThinkPad-20RA004WUS-Notebook-Plane/dp/B0846LZ75G/ref=sr_1_8?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-8","","","","6 ratings","5 out of 5 
"
"2020 Lenovo Yoga C740 14"" FHD IPS Touchscreen Premium 2-in-1 Laptop, 10th Gen Intel Quad Core i5-10210U, 8GB RAM, 256GB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Windows 10, Aluminum Chassis","https://www.amazon.com/Lenovo-Touchscreen-i5-10210U-Keyboard-Fingerprint/dp/B08BNZ5NTG/ref=sr_1_10?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-10","","","","42 ratings","4.3 out of 5 
"
"Latest Gen 8 Lenovo ThinkPad X1 Carbon 14"" FHD Ultrabook (400 nits) with 10th Gen Intel i7-10510U Processor up to 4.90 GHz, 1 TB PCIe SSD, 16GB RAM, and Windows 10 Pro","https://www.amazon.com/Lenovo-ThinkPad-Ultrabook-i7-10510U-Processor/dp/B08FRNCPXF/ref=sr_1_22?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-22","","","$1,674.00","57 ratings","4.6 out of 5 
"
"Apple MacBook Air (13-inch Retina Display, 8GB RAM, 256GB SSD Storage) - Gold (Previous Model)","https://www.amazon.com/Apple-MacBook-13-inch-256GB-Storage/dp/B08636NKF8/ref=sr_1_3?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-3","","Price","-","9,821 ratings","4.8 out of 5 
"
"HP Spectre x360 GEM Cut 13.3"" FHD Touch Laptop, Intel i7-1065G7, 16GB RAM, 512GB SSD, Bang & Olufsen, Fingerprint Reader, HP Stylus, Nightfall Black, Win 10 Pro, 64GB TechWarehouse Flash Drive","https://www.amazon.com/HP-i7-1065G7-Fingerprint-Nightfall-TechWarehouse/dp/B087C2ZQNQ/ref=sr_1_4?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-4","","","$1,328.00","73 ratings","4.5 out of 5 
"
"2020 Newest Dell Inspiron 15 5000 Premium PC Laptop: 15.6 Inch FHD Anti-Glare NonTouch Display,10th Gen i5, 16GB RAM, 256GB SSD, Intel UHD Graphics, WiFi, Bluetooth, HDMI, Webcam, Backlit-KB, Win10","https://www.amazon.com/Newest-Dell-Inspiron-Premium-Laptop/dp/B082WRPP26/ref=sr_1_15?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-15","","","","108 ratings","4.4 out of 5 
"
"HP - Envy x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB SSD - Natural Silver","https://www.amazon.com/HP-2-1-Touch-Screen-Natural/dp/B08996DKMJ/ref=sr_1_15?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-15","","","$772.99","95 ratings","4.6 out of 5 
"
"Dell Chromebook 11 3000 3100 11.6"" Chromebook - 1366 x 768 - Celeron N4020 - 4 GB RAM - 16 GB Flash Memory - Chrome OS - Intel HD Graphics - English (US) Keyboard - Bluetooth - 14 Hour Battery Ru","https://www.amazon.com/Dell-Chromebook-3000-3100-11-6/dp/B089P36FXC/ref=sr_1_20?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-20","","","","880 ratings","4.4 out of 5 
"
"HP Stream 14-Inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb188nr, Rose Pink)","https://www.amazon.com/HP-14-inch-Celeron-Personal-14-cb188nr/dp/B084SCJY1J/ref=sr_1_11?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-11","","","","2,689 ratings","4.5 out of 5 
"
"Apple MacBook Air 13.3"" with Retina Display, 1.1GHz Quad-Core Intel Core i5, 8GB Memory, 256GB SSD, Gold (Early 2020)","https://www.amazon.com/Apple-MacBook-Air-Display-Quad-Core/dp/B08884H13B/ref=sr_1_14?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-14","","","$999.99","33 ratings","4.5 out of 5 
"
"2020 Newest Lenovo IdeaPad 3 15"" Laptop, AMD Ryzen 5 3500U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10, Abyss Blue, 81W1009DUS (Google Classroom Compatible)","https://www.amazon.com/Lenovo-Quad-Core-Processor-81W1009DUS-Compatible/dp/B08HLD3N5C/ref=sr_1_16?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-16","","","","30 ratings","4.4 out of 5 
"
"Apple MacBook Pro (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Previous Model)","https://www.amazon.com/Apple-MacBook-13-inch-Storage-Keyboard/dp/B0882KD98F/ref=sr_1_13?dchild=1&keywords=Apple&qid=1616248541&s=pc&sr=1-13","","Price","-","692 ratings","4.8 out of 5 
"
